CMDLINE 'c:\users\huseyn iskandarli\appdata\local\programs\python\python38\python.exe' main.py
MEM 1.703125 1678563248.6704
MEM 10.292969 1678563248.7766
MEM 19.285156 1678563248.8866
MEM 24.726562 1678563248.9938
MEM 28.898438 1678563249.1037
MEM 34.132812 1678563249.2134
MEM 38.746094 1678563249.3247
MEM 41.511719 1678563249.4333
MEM 45.613281 1678563249.5423
MEM 49.765625 1678563249.6504
MEM 51.589844 1678563249.7611
MEM 54.781250 1678563249.8688
MEM 55.808594 1678563249.9784
MEM 56.089844 1678563250.0874
MEM 56.101562 1678563250.1948
MEM 56.714844 1678563250.3046
MEM 56.890625 1678563250.4121
MEM 56.980469 1678563250.5205
MEM 57.085938 1678563250.6301
MEM 57.316406 1678563250.7415
MEM 61.605469 1678563250.8524
MEM 61.019531 1678563250.9632
MEM 61.019531 1678563251.0710
MEM 61.019531 1678563251.1806
MEM 61.019531 1678563251.2880
MEM 61.074219 1678563251.3986
MEM 63.808594 1678563251.5068
MEM 64.511719 1678563251.6159
MEM 64.511719 1678563251.7252
MEM 64.511719 1678563251.8348
MEM 64.511719 1678563251.9437
MEM 64.511719 1678563252.0529
MEM 67.007812 1678563252.1590
MEM 67.785156 1678563252.2707
MEM 67.785156 1678563252.3812
MEM 67.785156 1678563252.4907
